22561), CD, I
(S4;, JJ, I
immature, NN, I
B, NNP, I
cells)., NN, IImmortalized, NNP, I
human, JJ, I
bone, NN, N
marrow, NN, N
-derived, VBD, I
mesenchymal, JJ, I
stromal, JJ, I
cell, NN, I
line, NN, I
DNA, NNP, I
methylation, NN, I
[iMSC#3, NNP, I
(Culture, NN, I
I)], NNP, IImmortalized, NNP, I
human, JJ, I
bone, NN, N
marrow, NN, N
-derived, VBD, I
mesenchymal, JJ, I
stromal, JJ, I
cell, NN, I
line, NN, I
DNA, NNP, I
methylation, NN, I
[iMSC#3, NNP, I
(Culture, NN, I
II)], NNP, IIn, IN, I
conclusion, NN, I
DNA, NNP, I
methylation, NN, I
profiles, NNS, I
of, IN, I
iP-MSC, JJ, I
clones, NNS, I
from, IN, I
the, DT, I
same, JJ, I
donor, NN, I
were, VBD, I
closely, RB, I
related, VBN, I
despite, IN, I
heterogeneity, NN, I
of, IN, I
MSC., NNP, IiMSC#3, NN, I
were, VBD, I
grown, VBN, I
under, IN, I
the, DT, I
same, JJ, I
condition, NN, I
as, IN, I
hMSCs, NN, I
but, CC, I
the, DT, I
medium, NN, I
was, VBD, I
supplemented, VBN, I
with, IN, I
10%, CD, I
FBS., NNS, IIn, IN, I
line, NN, I
myeloid, NN, I
cells, NNS, I
from, IN, I
pre-leukemic, JJ, I
PML-RARa, JJ, I
knock-in, JJ, I
mice, NN, I
did, VBD, I
not, RB, I
show, VB, I
altered, JJ, I
DNA, NNP, I
methylation, NN, I
and, CC, I
expression, NN, I
of, IN, I
PML-RARa, NNP, I
in, IN, I
hematopoietic, JJ, I
progenitor, NN, I
cells, NNS, I
prevented, VBN, I
differentiation, NN, I
without, IN, I
affecting, VBG, I
DNA, NNP, I
methylation., NN, IIn, IN, I
conclusion, NN, I
a, DT, I
human, JJ, I
bone, NN, N
marrow, NN, N
-derived, VBD, I
stromal, JJ, I
cell, NN, I
line, NN, I
was, VBD, I
developed, VBN, I
which, WDT, I
can, MD, I
be, VB, I
used, VBN, I
for, IN, I
basic, JJ, I
studies, NNS, I
of, IN, I
mesenchymal, JJ, I
cells, NNS, I
and, CC, I
to, TO, I
functionally, RB, I
study, VB, I
transgenes, NNS, I
that, WDT, I
might, MD, I
play, VB, I
a, DT, I
role, NN, I
in, IN, I
oncogenic, JJ, I
transformation., NN, IIn, IN, I
parallel, NN, I
we, PRP, I
have, VBP, I
isolated, VBN, I
RNA, NNP, I
from, IN, I
all, DT, I
sources, NNS, I
to, TO, I
analyze, VB, I
tissue, NN, I
source, NN, I
specific, JJ, I
gene, NN, I
expression, NN, I
profile., NN, IIn, IN, I
contrast, NN, I
induced, JJ, I
pluripotent, JJ, I
stem, NN, I
cells, NNS, I
(iPSCs), JJ, I
assimilate, VBP, I
towards, NNS, I
a, DT, I
ground-state, JJ, I
and, CC, I
may, MD, I
therefore, VB, I
give, VB, I
rise, NN, I
to, TO, I
more, RBR, I
standardized, JJ, I
cell, NN, I
preparations., NN, IIn, IN, I
the, DT, I
absence, NN, I
of, IN, I
isogenic, JJ, I
controls, NNS, I
for, IN, I
disease, NN, I
modeling, NN, I
applications, NNS, I
it, PRP, I
would, MD, I
therefore, RB, I
be, VB, I
more, RBR, I
appropriate, JJ, I
to, TO, I
compare, VB, I
iPSC, NN, I
from, IN, I
different, JJ, I
donors, NNS, I
rather, RB, I
than, IN, I
a, DT, I
high, JJ, I
number, NN, I
of, IN, I
different, JJ, I
clones, NNS, I
from, IN, I
the, DT, I
same, JJ, I
patient., NN, IIn, IN, I
parallel, NN, I
we, PRP, I
have, VBP, I
isolated, VBN, I
RNA, NNP, I
from, IN, I
all, DT, I
sources, NNS, I
to, TO, I
analyze, VB, I
tissue, NN, I
source, NN, I
specific, JJ, I
gene, NN, I
expression, NN, I
profile., NN, IIn, IN, I
this, DT, I
paper, NN, I
the, DT, I
generation, NN, I
and, CC, I
characterization, NN, I
of, IN, I
a, DT, I
TERT-immortalized, JJ, I
non-tumorigenic, JJ, I
human, JJ, I
bone, NN, N
marrow, NN, N
-derived, VBD, I
stromal, JJ, I
mesenchymal, JJ, I
model, NN, I
cell, NN, I
line, NN, I
is, VBZ, I
described., JJ, IInterestingly, RB, I
only, RB, I
BM-derived, JJ, I
MSPCs, NNS, I
were, VBD, I
capable, JJ, I
of, IN, I
bone, NN, I
formation, NN, I
and, CC, I
marrow, NN, I
attraction., NN, IIn, IN, I
this, DT, I
study, NN, I
we, PRP, I
have, VBP, I
analyzed, VBN, I
DNA, NNP, I
methylation, NN, I
characteristics, NNS, I
of, IN, I
human, JJ, I
mesenchymal, JJ, I
stem, NN, I
and, CC, I
progenitor, NN, I
cells, NNS, I
(MSPCs), JJ, I
form, JJ, I
different, JJ, I
tissue, NN, I
sources, NNS, I
including, VBG, I
bone, NN, N
marrow, NN, N
(BM), NNP, I
white, JJ, I
adipose, JJ, I
tissue, NN, I
(WAT, NN, I
), ), I
umbilical, JJ, I
cord, NN, I
(UC), NN, I
as, RB, I
well, RB, I
as, IN, I
dermal, JJ, I
fibroblasts, NNS, I
by, IN, I
using, VBG, I
the, DT, I
HumanMethylation450K, NNP, I
array., NN, IIn, IN, I
the, DT, I
absence, NN, I
of, IN, I
isogenic, JJ, I
controls, NNS, I
for, IN, I
disease, NN, I
modeling, NN, I
applications, NNS, I
it, PRP, I
would, MD, I
therefore, RB, I
be, VB, I
more, RBR, I
appropriate, JJ, I
to, TO, I
compare, VB, I
iPSC, NN, I
from, IN, I
different, JJ, I
donors, NNS, I
rather, RB, I
than, IN, I
a, DT, I
high, JJ, I
number, NN, I
of, IN, I
different, JJ, I
clones, NNS, I
from, IN, I
the, DT, I
same, JJ, I
patient., NN, IiPS-MSCs, JJ, I
reacquired, VBD, I
senescence-associated, JJ, I
DNAm, NNP, I
during, IN, I
culture, NN, I
expansion, NN, I
but, CC, I
they, PRP, I
remained, VBD, I
rejuvenated, VBN, I
with, IN, I
regard, NN, I
to, TO, I
age-related, JJ, I
DNAm., NNP, IIn, IN, I
this, DT, I
study, NN, I
we, PRP, I
elucidated, VBD, I
the, DT, I
DNA, NNP, I
methylome, NN, I
in, IN, I
primary, JJ, I
Acute, NNP, I
Promyelocytic, NNP, I
Leukemia, NNP, I
(APL), NNP, I
and, CC, I
the, DT, I
role, NN, I
of, IN, I
PML-RARa, NNP, I
in, IN, I
establishing, VBG, I
these, DT, I
patterns., NN, IL-MPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, NIn, IN, I
this, DT, I
study, NN, I
we, PRP, I
have, VBP, I
reprogrammed, VBN, I
mesenchymal, JJ, I
stromal, JJ, I
cells, NNS, I
(MSC), VBP, I
from, IN, I
human, JJ, I
bone, NN, N
marrow, NN, N
by, IN, I
retrovirus-mediated, JJ, I
overexpression, NN, I
of, IN, I
OCT-3/4, NNP, I
SOX2, NNP, I
c-MYC, NN, I
and, CC, I
KLF4., NNP, IMEP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, NIt, PRP, I
has, VBZ, I
been, VBN, I
suggested, VBN, I
that, IN, I
iPSC, NN, I
retain, VB, I
some, DT, I
tissue-specific, JJ, I
memory, NN, I
whereas, JJ, I
little, JJ, I
is, VBZ, I
known, VBN, I
about, IN, I
inter-individual, JJ, I
epigenetic, JJ, I
variation, NN, I
of, IN, I
iPSC, NN, I
clones., NN, IMononuclear, JJ, I
cells, NNS, I
from, IN, I
the, DT, I
bone, NN, N
marrow, NN, N
were, VBD, I
isolated, VBN, I
using, VBG, I
standard, JJ, I
density, NN, I
centrifugation, NN, I
and, CC, I
cultured, VBN, I
in, IN, I
minimum, JJ, I
essential, JJ, I
medium, NN, I
(MEM), NNP, I
Alpha, NNP, I
medium, NN, I
(cat., NN, ILymphoprep, NNP, I
extraction, NN, I
of, IN, I
leukocytes, NNS, I
was, VBD, I
performed, VBN, I
following, VBG, I
30, CD, I
min, JJ, I
no, DT, I
brake, NN, I
centrifugation., NN, IMSCs, NN, I
from, IN, I
BM, NNP, I
WAT, NNP, I
UC, NNP, I
and, CC, I
skin, NN, I
were, VBD, I
isolated, VBN, I
using, VBG, I
plastic, NN, I
adherence., NN, IMesenchymal, JJ, I
stem, NN, I
and, CC, I
progenitor, NN, I
cells, NNS, I
(MSPCs), VBP, I
from, IN, I
human, JJ, I
bone, NN, N
marrow, NN, NMSCs, NN, I
from, IN, I
three, CD, I
donors, NNS, I
were, VBD, I
infected, VBN, I
with, IN, I
pMXs, NNS, I
based, VBN, I
retroviruses, NNS, I
(Addgene, NNP, I
Cambridge, NNP, I
MA, NNP, I
USA), NNP, I
carrying, VBG, I
the, DT, I
OCT3/4, NNP, I
SOX2, NNP, I
KLF4, NNP, I
and, CC, I
c-MYC, JJ, I
genes., NN, IMPP, NNP, I
of, IN, I
normal, JJ, I
bone, NN, N
marrow, NN, NMSCs, NNP, I
were, VBD, I
subcutaneously, RB, I
implanted, VBN, I
into, IN, I
immune-compromised, JJ, I
mice, NN, I
to, TO, I
comparatively, RB, I
evaluate, VB, I
bone, NN, I
formation, NN, I
and, CC, I
subsequent, JJ, I
bone, NN, N
marrow, NN, N
attraction., NN, IMSCs, NN, I
from, IN, I
BM, NNP, I
WAT, NNP, I
UC, NNP, I
and, CC, I
skin, NN, I
were, VBD, I
isolated, VBN, I
using, VBG, I
plastic, NN, I
adherence., NN, Inormal, JJ, I
bone, NN, N
marrow, NN, N
progenitor, NN, I
cells, NNS, IMSCs, NNP, I
were, VBD, I
isolated, VBN, I
from, IN, I
bone, NN, N
marrow, NN, N
(tibia, NNP, I
plateau), NN, I
after, IN, I
written, VBN, I
consent, NN, I
using, VBG, I
guidelines, NNS, I
approved, VBN, I
by, IN, I
the, DT, I
Ethic, NNP, I
Committee, NNP, I
of, IN, I
the, DT, I
Use, NNP, I
of, IN, I
Human, NNP, I
Subjects, NNP, I
at, IN, I
the, DT, I
University, NNP, I
of, IN, I
Aachen, NNP, I
(permit, NNP, I
number:, IN, I
EK128/09)., NNP, IOverall, JJ, I
DNA-methylation, NNP, I
patterns, NNS, I
of, IN, I
iP-MSC, JJ, I
and, CC, I
ESC, NNP, I
were, VBD, I
similar, JJ, I
whereas, NNS, I
some, DT, I
CpG, NNP, I
sites, NNS, I
revealed, VBD, I
highly, RB, I
significant, JJ, I
differences, NNS, I
which, WDT, I
were, VBD, I
not, RB, I
related, VBN, I
to, TO, I
parental, JJ, I
MSC., NNP, INon-adherent, JJ, I
cells, NNS, I
were, VBD, I
removed, VBN, I
after, IN, I
approximately, RB, I
24, CD, I
h, NNS, I
by, IN, I
replacement, NN, I
of, IN, I
the, DT, I
medium., NN, IPatient, NN, I
and, CC, I
donor, NN, I
samples, NNS, I
were, VBD, I
obtained, VBN, I
either, RB, I
from, IN, I
blood, NN, I
or, CC, I
bone, NN, N
marrow, NN, N
., ., INormal, NNP, I
human, JJ, I
bone, NN, N
marrow, NN, N
cells, NNS, IPrimary, JJ, I
hMSCs, NN, I
were, VBD, I
obtained, VBN, I
from, IN, I
the, DT, I
hip, NN, I
of, IN, I
a, DT, I
healthy, JJ, I
donor, NN, I
after, IN, I
informed, VBN, I
consent., NN, IOverall, JJ, I
iPS-MSCs, NN, I
and, CC, I
MSCs, NNP, I
are, VBP, I
similar, JJ, I
in, IN, I
function, NN, I
but, CC, I
differ, NN, I
in, IN, I
their, PRP$, I
epigenetic, JJ, I
makeup., NN, IReprogramming, VBG, I
of, IN, I
somatic, JJ, I
cells, NNS, I
into, IN, I
induced, JJ, I
pluripotent, JJ, I
stem, NN, I
cells, NNS, I
(iPSC), NNP, I
is, VBZ, I
an, DT, I
epigenetic, JJ, I
phenomenon., NN, Iprimary, JJ, I
cells, NNS, I
isolated, VBN, I
from, IN, I
patient's, JJ, I
blood, NN, I
or, CC, I
bone, NN, N
marrow, NN, Nsample, NN, I
origin:, MD, I
Human, NNP, I
bone, NN, N
marrow, NN, N
-derived, VBD, I
mesenchymal, JJ, I
stromal, NN, I
cell, NN, IReprogramming, VBG, I
of, IN, I
somatic, JJ, I
cells, NNS, I
into, IN, I
induced, JJ, I
pluripotent, JJ, I
stem, NN, I
cells, NNS, I
(iPSC), NNP, I
is, VBZ, I
an, DT, I
epigenetic, JJ, I
phenomenon., NN, Isample, NN, I
type:, NN, I
Remission, NNP, I
bone, NN, N
marrow, NN, NRUNX2, NNP, I
target, NN, I
genes, NNS, I
were, VBD, I
associated, VBN, I
with, IN, I
cellular, JJ, I
growth, NN, I
movement, NN, I
apoptosis, NN, I
and, CC, I
PDGF, NNP, I
BB, NNP, I
and, CC, I
p53, NN, I
signaling., NN, ISorted, VBN, I
normal, JJ, I
bone, NN, N
marrow, NN, N
cells, NNS, I
from, IN, I
healthy, JJ, I
volunteers, NNS, I
at, IN, I
Washington, NNP, I
University, NNP, ISamples, NNS, I
included, VBD, I
20, CD, I
leukemia, NN, I
stem, NN, I
cells, NNS, I
24, CD, I
blast, NN, I
cells, NNS, I
and, CC, I
30, CD, I
normal, JJ, I
hematopoietic, JJ, I
stem, NN, I
and, CC, I
progenitor, NN, I
cells, NNS, I
(6, JJ, I
different, JJ, I
types, NNS, I
from, IN, I
5, CD, I
normal, JJ, I
bone, NN, N
marrow, NN, N
s)., NN, IStarting, VBG, I
material, NN, I
and, CC, I
culture, NN, I
expansion, NN, I
affect, NN, I
cell, NN, I
preparations, NNS, I
and, CC, I
render, VB, I
comparison, NN, I
between, IN, I
studies, NNS, I
difficult., VBP, ISelf-renewal, NNP, I
and, CC, I
multipotent, JJ, I
differentiation, NN, I
capacity, NN, I
are, VBP, I
key, JJ, I
elements, NNS, I
in, IN, I
the, DT, I
increasing, VBG, I
interest, NN, I
of, IN, I
this, DT, I
cell, NN, I
type., NN, ISubsequently, RB, I
we, PRP, I
searched, VBD, I
for, IN, I
CpG, NNP, I
sites, NNS, I
with, IN, I
donor-specific, JJ, I
variation, NN, I
in, IN, I
MSC, NNP, I
preparations., NN, IStandardization, NN, I
of, IN, I
mesenchymal, JJ, I
stromal, JJ, I
cells, NNS, I
(MSCs), VBP, I
remains, VBZ, I
a, DT, I
major, JJ, I
obstacle, NN, I
in, IN, I
regenerative, JJ, I
medicine., NN, ISUZ12, NNP, I
and, CC, I
REST, NNP, I
binding, NN, I
sites, NNS, I
identified, VBN, I
in, IN, I
embryonic, JJ, I
stem, NN, I
cells, NNS, I
were, VBD, I
however, RB, I
preferentially, RB, I
DNA, NNP, I
hypermethylated, VBD, I
in, IN, I
APL., NNP, ISubsequently, RB, I
the, DT, I
adherent, NN, I
cells, NNS, I
were, VBD, I
allowed, VBN, I
to, TO, I
expand, VB, I
until, IN, I
70%, CD, I
confluence, NN, I
(5–6, NNP, I
days), NN, I
before, IN, I
they, PRP, I
were, VBD, I
harvested, VBN, I
and, CC, I
further, RBR, I
expanded., NN, IThe, DT, I
gene, NN, I
expression, NN, I
profiles, NNS, I
of, IN, I
immortalized, JJ, I
and, CC, I
primary, JJ, I
hMSCs, NN, I
were, VBD, I
also, RB, I
similar, JJ, I
whereas, IN, I
the, DT, I
corresponding, JJ, I
methylation, NN, I
profiles, NNS, I
were, VBD, I
more, JJR, I
diverse., NNS, ISurprisingly, RB, I
RUNX2, NNP, I
was, VBD, I
found, VBN, I
to, TO, I
bind, VB, I
both, DT, I
at, IN, I
the, DT, I
5’, CD, I
and, CC, I
3’, CD, I
ends, NNS, I
of, IN, I
genes, NNS, I
and, CC, I
also, RB, I
at, IN, I
distal, JJ, I
regulatory, JJ, I
elements, NNS, I
and, CC, I
was, VBD, I
co-localized, VBN, I
with, IN, I
activating, VBG, I
histone, NN, I
modifications, NNS, I
at, IN, I
approximately, RB, I
half, NN, I
of, IN, I
bound, NN, I
sites., NN, IThe, DT, I
origin, NN, I
of, IN, I
aberrant, JJ, I
DNA, NNP, I
methylation, NN, I
in, IN, I
cancer, NN, I
remains, VBZ, I
largely, RB, I
unknown., JJ, IThe, DT, I
cell, NN, I
line, NN, I
had, VBD, I
a, DT, I
normal, JJ, I
karyotype, NN, I
and, CC, I
high-resolution, NN, I
array, NN, I
comparative, JJ, I
genomic, JJ, I
hybridization, NN, I
confirmed, VBD, I
that, IN, I
the, DT, I
cells, NNS, I
in, IN, I
general, JJ, I
had, VBD, I
normal, JJ, I
copy, NN, I
number., NN, IThe, DT, I
resulting, VBG, I
cell, NN, I
line, NN, I
iMSC#3, NN, I
maintained, VBD, I
capacity, NN, I
to, TO, I
differentiate, VB, I
into, IN, I
osteoblasts, NNS, I
and, CC, I
adipocytes, NNS, I
and, CC, I
growth, NN, I
characteristics, NNS, I
comparable, JJ, I
to, TO, I
primary, JJ, I
hMSCs, NN, I
into, IN, I
after, IN, I
long-term, JJ, I
culturing, NN, I
(155, JJ, I
population, NN, I
doublings)., NN, IThe, DT, I
Illumina, NNP, I
Infinium, NNP, I
450k, CD, I
Human, NNP, I
DNA, NNP, I
methylation, NN, I
Beadchip, NNP, I
was, VBD, I
used, VBN, I
to, TO, I
obtain, VB, I
DNA, NNP, I
methylation, NN, I
profiles, NNS, I
across, IN, I
approximately, RB, I
450000, CD, I
CpGs, NNP, I
in, IN, I
the, DT, I
samples., NN, IThese, DT, I
features, NNS, I
correlated, VBD, I
with, IN, I
unique, JJ, I
epigenetic, JJ, I
characteristics, NNS, I
potentially, RB, I
enabling, VBG, I
BM-derived, NNP, I
cells, NNS, I
to, TO, I
undergo, VB, I
endochondral, JJ, I
ossification., NN, IThe, DT, I
predictions, NNS, I
were, VBD, I
confirmed, VBN, I
by, IN, I
siRNA, JJ, I
knockdown, NN, I
of, IN, I
the, DT, I
transcription, NN, I
factors, NNS, I
which, WDT, I
lead, VBP, I
to, TO, I
inhibition, NN, I
of, IN, I
differentiation., NN, IThese, DT, I
results, NNS, I
suggest, VBP, I
that, IN, I
aberrant, JJ, I
DNA, NNP, I
methylation, NN, I
is, VBZ, I
associated, VBN, I
with, IN, I
leukemia, NN, I
phenotype, NN, I
but, CC, I
not, RB, I
required, VBN, I
for, IN, I
PML-RARa-mediated, JJ, I
initiation, NN, I
of, IN, I
leukemogenesis., NN, IThese, DT, I
“epigenetic, JJ, I
fingerprints”, NNS, I
were, VBD, I
highly, RB, I
enriched, VBN, I
in, IN, I
non-promoter, JJ, I
regions, NNS, I
and, CC, I
outside, NN, I
of, IN, I
CpG, NNP, I
islands, NNS, I
–, VBP, I
and, CC, I
they, PRP, I
were, VBD, I
maintained, VBN, I
upon, IN, I
reprogramming, VBG, I
into, IN, I
iP-MSC., JJ, IThe, DT, I
study, NN, I
investigated, VBD, I
the, DT, I
changes, NNS, I
in, IN, I
DNA-methylation, NNP, I
and, CC, I
gene, NN, I
expression, NN, I
during, IN, I
granulopoiesis., NN, IThese, DT, I
iPS-MSCs, JJ, I
revealed, VBD, I
similar, JJ, I
morphology, NN, I
immunophenotype, NN, I
in, IN, I
vitro, JJ, I
differentiation, NN, I
potential, NN, I
and, CC, I
gene, NN, I
expression, NN, I
profiles, NNS, I
as, IN, I
primary, JJ, I
MSCs., NNP, IThis, DT, I
is, VBZ, I
to, TO, I
our, PRP$, I
knowledge, NN, I
the, DT, I
first, JJ, I
genome-wide, JJ, I
description, NN, I
of, IN, I
RUNX2, NNP, I
targets, NNS, I
in, IN, I
bone, NN, I
biology., NN, IThe, DT, I
study, NN, I
investigated, VBD, I
the, DT, I
abberrent, NN, I
DNA, NNP, I
methylation, NN, I
in, IN, I
correlation, NN, I
with, IN, I
gene, NN, I
expression, NN, I
in, IN, I
cytogenetic, JJ, I
normal, JJ, I
acute, NN, I
myeloid, NN, I
leukemia., NN, Itisse, NN, I
source, NN, I
for, IN, I
mscs:, NN, I
bone, NN, N
marrow, NN, N
(BM), NN, IThe, DT, I
trabecular, JJ, I
bone, NN, I
pieces, NNS, I
were, VBD, I
obtained, VBN, I
from, IN, I
the, DT, I
central, JJ, I
part, NN, I
of, IN, I
the, DT, I
femoral, JJ, I
head, NN, I
of, IN, I
Spanish, JJ, I
(Caucasian), NN, I
patients, NNS, I
with, IN, I
hip, NN, I
fractures, NNS, I
(due, VBP, I
to, TO, I
osteoporosis), VB, I
or, CC, I
subjects, NNS, I
with, IN, I
osteoarthritis., NN, Itissue:, JJ, I
fetal, JJ, I
bone, NN, N
marrow, NN, Ntisse, NN, I
source, NN, I
for, IN, I
mscs:, NN, I
bone, NN, N
marrow, NN, N
(BM), NN, ITo, TO, I
gain, VB, I
mechanistic, JJ, I
insights, NNS, I
explaining, VBG, I
this, DT, I
differences, VBZ, I
we, PRP, I
analyzed, VBD, I
gene, NN, I
expression, NN, I
characteristics, NNS, I
of, IN, I
MSC, NNP, I
from, IN, I
all, DT, I
four, CD, I
tissue, NN, I
sources, NNS, I
using, VBG, I
Affymetrix, NNP, I
Genechip, NNP, I
Human, NNP, I
Gene, NNP, I
2.0, CD, I
ST, NNP, I
Array., NNP, Itissue:, NN, I
bone, NN, N
marrow, NN, N
/, NNP, I
peripheral, JJ, I
blood, NN, ITo, TO, I
this, DT, I
end, NN, I
CMP, NNP, I
GMP, NNP, I
PMC, NNP, I
and, CC, I
PMN, NNP, I
cell, VBP, I
populations, NNS, I
were, VBD, I
isolated, VBN, I
by, IN, I
FACS, NNP, I
from, IN, I
bone, NN, N
marrow, NN, N
from, IN, I
healthy, JJ, I
donors, NNS, I
and, CC, I
analysed, VBN, I
by, IN, I
CAGE, NNP, I
as, RB, I
well, RB, I
as, IN, I
expression, NN, I
and, CC, I
DNA, NNP, I
microarrays., NN, ITo, TO, I
exclude, VB, I
contamination, NN, I
of, IN, I
feeder, NN, I
layer, NN, I
cells, NNS, I
iPSCs, VBP, I
were, VBD, I
adjusted, VBN, I
to, TO, I
a, DT, I
feeder-free, JJ, I
system, NN, I
on, IN, I
matrigel, NN, I
(BD, NN, I
Biosciences, NNP, I
San, NNP, I
Jose, NNP, I
CA, NNP, I
USA), NNP, I
in, IN, I
mTeSR™1, JJ, I
medium, NN, I
(Stemcell, NNP, I
Technologies, NNPS, I
Vancouver, NNP, I
BC, NNP, I
Canada), NNP, I
for, IN, I
at, IN, I
least, JJS, I
three, CD, I
passages., NN, IUnexpectedly, RB, I
PML-RARa, NNP, I
binding, VBG, I
sites, NNS, I
were, VBD, I
also, RB, I
protected, VBN, I
from, IN, I
aberrant, JJ, I
DNA, NNP, I
methylation, NN, I
in, IN, I
APL., NNP, ITo, TO, I
gain, VB, I
mechanistic, JJ, I
insights, NNS, I
explaining, VBG, I
this, DT, I
differences, VBZ, I
we, PRP, I
analyzed, VBD, I
gene, NN, I
expression, NN, I
characteristics, NNS, I
of, IN, I
MSC, NNP, I
from, IN, I
all, DT, I
four, CD, I
tissue, NN, I
sources, NNS, I
using, VBG, I
Affymetrix, NNP, I
Genechip, NNP, I
Human, NNP, I
Gene, NNP, I
2.0, CD, I
ST, NNP, I
Array., NNP, IWe, PRP, I
here, RB, I
describe, VBP, I
the, DT, I
pattern, NN, I
of, IN, I
gene, NN, I
expression, NN, I
histone, NN, I
modification, NN, I
and, CC, I
DNA, NNP, I
binding, NN, I
of, IN, I
the, DT, I
bone, NN, I
master, NN, I
regulator, NN, I
RUNX2, NNP, I
during, IN, I
osteogenic, JJ, I
differentiation, NN, I
of, IN, I
an, DT, I
immortalized, JJ, I
human, JJ, I
bone, NN, N
marrow, NN, N
-derived, VBD, I
MSC, NNP, I
cell, NN, I
line., NN, ITranscription, NNP, I
factor, NN, I
binding, VBG, I
sites, NNS, I
e.g., VBP, IWhere, WRB, I
available, JJ, I
purification, NN, I
was, VBD, I
performed, VBN, I
using, VBG, I
MACS, NNP, I
columns, NN, I
following, VBG, I
anti-CD34, JJ, I
bead, JJ, I
conjugation, NN, I
to, TO, I
samples, VB, I
(anti-CD14, NNP, I
for, IN, I
CD14, NNP, I
samles)., NN, IWe, PRP, I
examined, VBD, I
DNA, NNP, I
methylation, NN, I
and, CC, I
RNA, NNP, I
expression, NN, I
status, NN, I
during, IN, I
early, JJ, I
B-cell, NNP, I
development, NN, I
by, IN, I
sorting, VBG, I
multiple, JJ, I
replicates, NNS, I
of, IN, I
four, CD, I
separate, JJ, I
stages, NNS, I
of, IN, I
pre-B, JJ, I
cells, NNS, I
derived, VBN, I
from, IN, I
normal, JJ, I
human, JJ, I
fetal, JJ, I
bone, NN, N
marrow, NN, N
and, CC, I
applied, VBD, I
high-dimension, NN, I
DNA, NNP, I
methylation, NN, I
scanning, NN, I
and, CC, I
expression, NN, I
arrays., NN, IWe, PRP, I
reprogrammed, VBD, I
bone, NN, N
marrow, NN, N
MSCs, NNP, I
into, IN, I
iPSCs, NN, I
which, WDT, I
were, VBD, I
subsequently, RB, I
re-differentiated, JJ, I
towards, NNS, I
MSCs., NNP, I
